RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-003187,Jack in the Box,Other Fast Food,8706 E HIGHWAY 290,Austin,TX,78724,US,30.329177,-97.658348,Datafiniti_2018
LOC-003188,Jack in the Box,Other Fast Food,7901 BURNET RD,Austin,TX,78757,US,30.356305,-97.730433,Datafiniti_2018
LOC-003189,Jack in the Box,Other Fast Food,12309 DESSAU RD,Austin,TX,78754,US,30.387863,-97.647626,Datafiniti_2018
LOC-003190,Jack in the Box,Other Fast Food,18220 DALLAS PKWY,Dallas,TX,75287,US,32.998551,-96.828584,Datafiniti_2018
LOC-003191,Sonic Drive-In,Burgers,2130 N JOSEY LN,Carrollton,TX,75006,US,32.9714,-96.8893,Datafiniti_2018
LOC-003192,McDonald's,Burgers,721 E STATE ST,Alliance,OH,44601,US,40.901645,-81.096,Datafiniti_2018
LOC-003193,McDonald's,Burgers,71 MCCOY XING,Dresden,OH,43821,US,40.123712,-82.020829,Datafiniti_2018
LOC-003194,Jack in the Box,Other Fast Food,5025 S LANCASTER RD,Dallas,TX,75216,US,32.68651,-96.790379,Datafiniti_2018
LOC-003195,Jack in the Box,Other Fast Food,7410 BONNIE VIEW RD,Dallas,TX,75241,US,32.656434,-96.749778,Datafiniti_2018
LOC-003196,Jack in the Box,Other Fast Food,2611 S HAMPTON RD,Dallas,TX,75224,US,32.719725,-96.857429,Datafiniti_2018
LOC-003197,Jack in the Box,Other Fast Food,100 BRADDIE DR,Del Rio,TX,78840,US,29.393735,-100.904407,Datafiniti_2018
LOC-003198,Taco Bell,Mexican,3839 CAPITAL CIR NE,Tallahassee,FL,32309,US,30.505043,-84.248586,Datafiniti_2018
LOC-003199,Taco Bell,Mexican,7120 W MCNAB RD,Pompano Beach,FL,33068,US,26.208405,-80.220656,Datafiniti_2018
LOC-003200,King Gyros,Other Fast Food,535 W EDISON RD,Mishawaka,IN,46545,US,41.694436,-86.224793,Datafiniti_2018
LOC-003201,Back Yard Burgers,Burgers,11475 HAYNES BRIDGE RD,Alpharetta,GA,30009,US,34.061556,-84.289392,Datafiniti_2018
LOC-003202,Jamba Juice,Other Fast Food,1849 E CAPITOL EXPY,San Jose,CA,95121,US,37.313321,-121.80803,Datafiniti_2018
LOC-003203,Taco Bell,Mexican,1345 TUSKAWILLA RD,Winter Springs,FL,32708,US,28.649209,-81.268765,Datafiniti_2018
LOC-003204,Fazoli's,Other Fast Food,12045 METCALF AVE,Overland Park,KS,66213,US,38.9103,-94.66716,Datafiniti_2018
LOC-003205,Sonic Drive-In,Burgers,9900 MONTGOMERY BLVD NE,Albuquerque,NM,87111,US,35.1302,-106.53072,Datafiniti_2018
LOC-003206,McDonald's,Burgers,9515 CANDELARIA RD NE,Albuquerque,NM,87112,US,35.1165,-106.53403,Datafiniti_2018
LOC-003207,Jack in the Box,Other Fast Food,5350 MONTANA AVE,El Paso,TX,79903,US,31.783593,-106.425728,Datafiniti_2018
LOC-003208,Jack in the Box,Other Fast Food,1721 S MECHANIC ST,El Campo,TX,77437,US,29.180916,-96.260904,Datafiniti_2018
LOC-003209,Jack in the Box,Other Fast Food,328 W UNIVERSITY DR,Denton,TX,76201,US,33.231239,-97.135454,Datafiniti_2018
LOC-003210,Burger King,Burgers,4760 MCMAHON BLVD NW,Albuquerque,NM,87114,US,35.195614,-106.65914,Datafiniti_2018
LOC-003211,Pizza Hut,Pizza,507 SW BIG BEND TRL STE B,Glen Rose,TX,76043,US,32.23367,-97.76604,Datafiniti_2018
LOC-003212,McDonald's,Burgers,906 TEXAS HIGHWAY 37,Mount Vernon,TX,75457,US,33.14296,-95.2407,Datafiniti_2018
LOC-003213,Subway,Sandwich,US HIGHWAY 287 E,Harrold,TX,76364,US,34.07115,-99.00995,Datafiniti_2018
LOC-003214,Subway,Sandwich,1916 CABLE ST,San Diego,CA,92107,US,32.746038,-117.249006,Datafiniti_2018
LOC-003215,Wendy's,Burgers,4029 FIVE FORKS TRICKUM RD SW,Lilburn,GA,30047,US,33.869853,-84.091214,Datafiniti_2018
LOC-003216,Wendy's,Burgers,995 CHASTAIN RD NW,Kennesaw,GA,30144,US,34.032058,-84.579737,Datafiniti_2018
LOC-003217,Wendy's,Burgers,4840 SUGARLOAF PKWY,Lawrenceville,GA,30044,US,33.954665,-84.054003,Datafiniti_2018
LOC-003218,Wendy's,Burgers,303 VERNON ST,Lagrange,GA,30240,US,33.038723,-85.035124,Datafiniti_2018
LOC-003219,Wendy's,Burgers,676 DULUTH HWY,Lawrenceville,GA,30045,US,33.966038,-84.010412,Datafiniti_2018
LOC-003220,McDonald's,Burgers,9180 WILES RD,Pompano Beach,FL,33067,US,26.286879,-80.247652,Datafiniti_2018
LOC-003221,Taco Bell,Mexican,18641 GREEN VALLEY RANCH BLVD,Denver,CO,80249,US,39.784163,-104.768425,Datafiniti_2018
LOC-003222,Taco Bell,Mexican,1885 E STATE ROAD 163,Clinton,IN,47842,US,39.655778,-87.428652,Datafiniti_2018
LOC-003223,Taco Bell,Mexican,1889 WEST PERIMETER ROAD,Saint Paul,MN,55113,US,45.012268,-93.179507,Datafiniti_2018
LOC-003224,Taco Bell,Mexican,18941 SOLEDAD CANYON RD,Canyon Country,CA,91351,US,34.416039,-118.466127,Datafiniti_2018
LOC-003225,McDonald's,Burgers,1515 JOHNSON RD,Granite City,IL,62040,US,38.723402,-90.121439,Datafiniti_2018
LOC-003226,Arby's,Other Fast Food,15620 15 MILE RD,Fraser,MI,48026,US,42.552734,-82.964738,Datafiniti_2018
